Incident ID,Incident Type,Location/Context,Verification,Neighborhood,Date,Time,Description,State Kidnapping?,Agencies Involved,# of Agents,# of Unmarked Police Vehicles,Associated License Plates,Notes,Latitude,Longitude,Month,Date Category,Style Key
INC-022,Raid,Residential Area,Confirmed,Midvale Park,11-Jun-2025,9:00 PM,Large multi-agency home raid involving a warrant for drug offenses with participation by the US Border Patrol and ICE,Abduction(s) Occurred,"US Border Patrol, Immigration and Customs Enforcement (ICE) / Homeland Security Investigations (HSI) [part of ICE], Pinal County Sheriff's Office (PCSO), Tucson Police Department (TPD)",Many,5+,7MA 0CW; SXA 9DP; CFT1138; CWW1591; SYA 3DP,,32.158044,-110.999962,June 2025,Older than 6 months,Raid_Older than 6 months
INC-023,Vehicle Stop,PubIic Roadway: Highway,Confirmed,Mission View,12-Jun-2025,12:20 PM,"Vehicle stop of a livery van initiated by Arizona Department of Public Safety (AZDPS) state troopers, who then called the Border Patrol. During the time on scene, Border Patrol agents moved two young men from the back of a Border Patrol van to a Border Patrol truck, but apparently they had been detained at a previous incident. Unclear whether anyone was kidnapped from the vehicle stopped here",Attempted Abduction(s) — Unknown Outcome,"US Border Patrol, Arizona Department of Public Safety (AZDPS)",5+,3+,X7A 2AJ; AF-703X,,32.189072,-110.973134,June 2025,Older than 6 months,Vehicle Stop_Older than 6 months
INC-024,Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"South Park, South Tucson, etc",16-Jun-2025,11:18 AM,DHS/CBP surveillance plane N51824 flying a surveillance operation over South Park and surrounding neighborhoods,Unknown or Not Applicable,Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP),Unknown,N/A,N/A,,32.192379,-110.947004,June 2025,Older than 6 months,Aerial Surveillance (Aircraft)_Older than 6 months
INC-025,Vehicle Stop,Public Roadway,Confirmed,Bravo Park Lane,19-Jun-2025,,Vehicle stop conducted by suspected ICE agents wearing plain clothes and driving three unmarked vehicles. Uknnown whether anyone was kidnapped,Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE) [unconfirmed],5-6,3,VE-88-312 (Sonora plate),,32.176787,-110.951541,June 2025,Older than 6 months,Vehicle Stop_Older than 6 months
INC-026,Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"Limberlost, Nat'l City Northwest, etc",24-Jun-2025,6:40 PM,DHS/CBP helicopter N184R involved in vehicle pursuit led by the Border Patrol that began near Paragonia and continued through multiple locations in Tucson,Abduction(s) Occurred,Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP),Unknown,N/A,N/A,"The Tucson Sentinel reported on this incident, but failed to mention that there were actually two CBP helicopters involved, not one, and that the US Army National Guard and Tucson Police Department also participated. See that story here: https://www.tucsonsentinel.com/local/report/062425_bp_raids_home/border-patrol-agents-raid-tucson-photographers-home-tuesday-night/",32.286447,-110.978092,June 2025,Older than 6 months,Aerial Surveillance (Aircraft)_Older than 6 months
INC-027,Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,Barrio Nopal,24-Jun-2025,6:40 PM,DHS/CBP helicopter N3320A involved in vehicle pursuit led by the Border Patrol that began near Paragonia and continued through multiple locations in Tucson,Abduction(s) Occurred,Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP),Unknown,N/A,N/A,"The Tucson Sentinel reported on this incident, but failed to mention that there were actually two CBP helicopters involved, not one, and that the US Army National Guard and Tucson Police Department also participated. See that story here: https://www.tucsonsentinel.com/local/report/062425_bp_raids_home/border-patrol-agents-raid-tucson-photographers-home-tuesday-night/",32.124993,-110.967782,June 2025,Older than 6 months,Aerial Surveillance (Aircraft)_Older than 6 months
INC-028,Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"Doolen-Fruitvale, Nat'l City Northwest, Rose, etc",24-Jun-2025,8:24 PM,"US Army National Guard helicopter 12-72235 involved in vehicle pursuit led by the Border Patrol that began near Paragonia and continued through multiple locations in Tucson, where this helicopter joined",Abduction(s) Occurred,US Army National Guard,Unknown,N/A,N/A,"The Tucson Sentinel reported on this incident, but failed to mention that there were actually two CBP helicopters involved, not one, and that the US Army National Guard and Tucson Police Department also participated. See that story here: https://www.tucsonsentinel.com/local/report/062425_bp_raids_home/border-patrol-agents-raid-tucson-photographers-home-tuesday-night/",32.255894,-110.921175,June 2025,Older than 6 months,Aerial Surveillance (Aircraft)_Older than 6 months
INC-029,Vehicle Stop,Residential Area,Confirmed,Doolen-Fruitvale,24-Jun-2025,8:24 PM,"Vehicle pursuit by Border Patrol (but also involving ICE/HSI, the US Army National Guard, TPD, and possibly other agencies) that started near Patagonia and continued through multiple locations in Tucson. Three helicopters, including two CBP aircraft and one operated by the US Army National Guard, participated. The incident ended in the Doolen-Fruitvale neighborhood, where Border Patrol entered and unsuccessfully searched at least one home",Abduction(s) Occurred,"US Border Patrol, Immigration and Customs Enforcement (ICE) / Homeland Security Investigations (HSI) [part of ICE], US Army National Guard, Tucson Police Department (TPD)",Many,6+,CWL6344; CRJ1058; JHA1BLA; KGA2BMA; CX55461,"The Tucson Sentinel reported on this incident, but failed to mention that there were actually two CBP helicopters involved, not one, and that the US Army National Guard and Tucson Police Department also participated. See that story here: https://www.tucsonsentinel.com/local/report/062425_bp_raids_home/border-patrol-agents-raid-tucson-photographers-home-tuesday-night/",32.255881,-110.922588,June 2025,Older than 6 months,Vehicle Stop_Older than 6 months
INC-030,Stakeout/Surveillance,Religious Site,Credible Report But Unconfirmed,Santa Rita Park,9-Jul-2025,6:30 AM,"Suspected ICE agents in 5-6 unmarked vehicles observed prowling around a church/day laborer organization and a nearby nonprofit. ICE has been documented prowling around at least one of these locations before, which workers have interpreted as an attempt to threaten and intimidate workers",No,Immigration and Customs Enforcement (ICE) [unconfirmed],5-6+,5-6+,CWD1009; CWL3051,,32.205731,-110.973092,July 2025,Older than 6 months,Stakeout/Surveillance_Older than 6 months
INC-031,Stakeout/Surveillance,Unknown/Other,Credible Report But Unconfirmed,Barrio Viejo,9-Jul-2025,7:30 AM,"Suspected ICE agents in 5-6 unmarked vehicles observed prowling around a church/day laborer organization and a nearby nonprofit. ICE has been documented prowling around at least one of these locations before, which workers have interpreted as an attempt to threaten and intimidate workers",No,Immigration and Customs Enforcement (ICE) [unconfirmed],5-6+,5-6+,CWD1009; CWL3051,,32.211992,-110.975618,July 2025,Older than 6 months,Stakeout/Surveillance_Older than 6 months
INC-032,Vehicle Stop,Public Roadway,Credible Report But Unconfirmed,Barrio Santa Rosa,14-Jul-2025,4:38 PM,Vehicle stop conducted by two unknown agents in black clothing driving an unmarked Chevrolet Silverado. Witnessed and photographed by passerby but further details not available.,Attempted Abduction(s) — Unknown Outcome,Unknown,2+,1+,,,32.207014,-110.971542,July 2025,Older than 6 months,Vehicle Stop_Older than 6 months
INC-033,Stakeout/Surveillance,Residential Area,Confirmed,Ranchwood Community,17-Jul-2025,12:50 PM,At least three ICE agents in two unmarked vehicles observed prowling around a manufactured home community,Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE),3,2,CWN3813; CMG8700,,32.148866,-110.917811,July 2025,Older than 6 months,Stakeout/Surveillance_Older than 6 months
